MSN,YYYYMM,Value,Column_Order,Description,Unit
CLIMBUS,199301,.008336,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199302,.014043,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199303,.013833,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199304,.011379,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199305,.007679,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199306,.013873,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199307,.017963,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199308,.02292,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199309,.020719,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199310,.028117,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199311,.024512,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199312,.021151,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199313,.204524,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199401,.016748,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199402,.020553,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199403,.018331,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199404,.014254,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199405,.014942,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199406,.014484,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199407,.022755,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199408,.020214,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199409,.021231,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199410,.020472,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199411,.016081,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199412,.021681,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199413,.221746,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199501,.014976,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199502,.013642,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199503,.023903,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199504,.023432,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199505,.01411,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199506,.015905,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199507,.017629,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199508,.015383,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199509,.029156,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199510,.028443,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199511,.018275,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199512,.021972,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199513,.236828,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199601,.013319,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199602,.01961,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199603,.016261,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199604,.007477,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199605,.019747,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199606,.014985,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199607,.024252,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199608,.017386,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199609,.018944,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199610,.017234,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199611,.018386,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199612,.015282,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199613,.202882,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199701,.010222,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199702,.00845,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199703,.014613,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199704,.013207,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199705,.014505,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199706,.014978,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199707,.019537,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199708,.015505,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199709,.020512,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199710,.014102,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199711,.015184,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199712,.026355,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199713,.187169,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199801,.017616,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199802,.011174,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199803,.017185,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199804,.019812,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199805,.011867,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199806,.023133,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199807,.020093,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199808,.020336,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199809,.013204,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199810,.019764,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199811,.019595,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199812,.024313,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199813,.218092,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199901,.018487,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199902,.018152,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199903,.019558,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199904,.017882,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199905,.010532,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199906,.024028,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199907,.016745,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199908,.022493,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199909,.020441,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199910,.017108,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199911,.027425,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199912,.014382,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,199913,.227233,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200001,.025047,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200002,.017454,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200003,.027875,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200004,.020582,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200005,.019261,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200006,.028794,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200007,.030298,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200008,.035088,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200009,.023655,"1","Coal Imports","Quadrillion Btu"
CLIMBUS,200010,.036041,"1","Coal Imports","Quadrillion Btu"
